iso3,country,l05_cat,l05_collapsed
ALB,Albania,0,No provision
AND,Andorra,1,Generally applicable (lapse)
ARM,Armenia,0,No provision
AUT,Austria,1,Generally applicable (lapse)
AZE,Azerbaijan,4,Generally applicable (withdrawal)
BEL,Belgium,0,No provision
BIH,Bosnia and Herzegovina,0,No provision
BGR,Bulgaria,0,No provision
HRV,Croatia,0,No provision
CYP,Cyprus,0,No provision
CZE,Czech Republic,0,No provision
DNK,Denmark,0,No provision
EST,Estonia,3,Only applies to naturalised citizens
FIN,Finland,0,No provision
FRA,France,0,No provision
GEO,Georgia,5,Generally applicable (withdrawal)
DEU,Germany,0,No provision
GRC,Greece,0,No provision
HUN,Hungary,0,No provision
ISL,Iceland,0,No provision
IRL,Ireland,6,Only applies to naturalised citizens
ITA,Italy,0,No provision
LVA,Latvia,5,Generally applicable (withdrawal)
LIE,Liechtenstein,0,No provision
LTU,Lithuania,2,Generally applicable (lapse)
LUX,Luxembourg,0,No provision
MKD,Macedonia,0,No provision
MLT,Malta,0,No provision
MDA,Moldova,0,No provision
MCO,Monaco,1,Generally applicable (lapse)
MNE,Montenegro,4,Generally applicable (withdrawal)
NLD,Netherlands,2,Generally applicable (lapse)
NOR,Norway,0,No provision
POL,Poland,0,No provision
PRT,Portugal,0,No provision
ROU,Romania,0,No provision
SMR,San Marino,0,No provision
SRB,Serbia,0,No provision
SVK,Slovakia,0,No provision
SVN,Slovenia,0,No provision
ESP,Spain,2,Generally applicable (lapse)
SWE,Sweden,0,No provision
CHE,Switzerland,0,No provision
TUR,Turkey,0,No provision
UKR,Ukraine,5,Generally applicable (withdrawal)
GBR,United Kingdom,0,No provision
